"iSensor","term","estimate","std.error","statistic","p.value","p_adj","effect","lo","hi","class"
"ATH-aux-reg-IR8-ARF8-down","conditionAuxin",-0.0548831122401287,0.00904696412613834,-6.06646732261946,0.00091028831366537,0.00252398123334489,-0.0548831122401287,-0.0726151619273599,-0.0371510625528976,"Down"
"ATH-aux-reg-IR8-ARF8-up","conditionAuxin",0.035219289788183,0.00576725231474596,6.10677110452284,0.000879096882637749,0.00252398123334489,0.035219289788183,0.023915475251281,0.0465231043250851,"Up"
"ATH-aux-cis-DR5-ARF5-2","conditionAuxin",-0.0111927069667968,0.00182544820924625,-6.13148426238749,0.0008605764702789,0.00252398123334489,-0.0111927069667968,-0.0147705854569194,-0.00761482847667415,"Down"
"ATH-aux-cis-IR8-ARF3","conditionAuxin",-0.0188608861365624,0.00321544350885982,-5.86571839455215,0.00108580305711766,0.00287973854279031,-0.0188608861365624,-0.0251631554139276,-0.0125586168591971,"Down"
"ATH-aux-trans-ARF","conditionAuxin",0.0472276220508714,0.00835023955274183,5.6558403806947,0.001311946491086,0.00325075227555773,0.0472276220508714,0.0308611525274974,0.0635940915742454,"Up"
"ATH-aux-cis-IR8-ARF1","conditionAuxin",-0.0246321202721142,0.00436815011775427,-5.63902787406444,0.00133227552276956,0.00325075227555773,-0.0246321202721142,-0.0331936945029125,-0.0160705460413158,"Down"
"ATH-aux-reg-IR8-ARF5-1-down","conditionAuxin",-0.0395625896300246,0.00754197276924636,-5.24565532659407,0.00192784937627807,0.0045230312289601,-0.0395625896300246,-0.0543448562577475,-0.0247803230023017,"Down"
"ATH-aux-cis-IR8-TGTCNN","conditionAuxin",-0.0157464231601627,0.0031077627855452,-5.06680343602873,0.00229521264651976,0.00500028469420377,-0.0157464231601627,-0.0218376382198313,-0.00965520810049405,"Down"
"ATH-aux-cis-IR8-ARF8","conditionAuxin",-0.0139893770137915,0.00274583129666396,-5.09476930749091,0.00223285059458622,0.00500028469420377,-0.0139893770137915,-0.0193712063552529,-0.00860754767233016,"Down"
"ATH-aux-cis-IR8-ARF6","conditionAuxin",-0.0124468478708347,0.00249233092725684,-4.99405906924814,0.00246689639409344,0.0051889889668862,-0.0124468478708347,-0.0173318164882581,-0.00756187925341125,"Down"
"ATH-aux-reg-DR5-ARF1-down","conditionAuxin",-0.0326990670027025,0.0067264763332639,-4.86124761058007,0.00281927940077465,0.00573253478157513,-0.0326990670027025,-0.0458829606158997,-0.0195151733895053,"Down"
"ATH-aux-trans-PolarAuxinTransport","conditionAuxin",-0.0579148578355521,0.012327094329106,-4.6981759277048,0.00333245759883842,0.00655741656545625,-0.0579148578355521,-0.0820759627205999,-0.0337537529505044,"Down"
"ATH-aux-trans-Receptors","conditionAuxin",-0.0515142245070695,0.0111233792102034,-4.63116680044639,0.00357333218290811,0.00681166447366858,-0.0515142245070695,-0.0733160477590681,-0.0297124012550709,"Down"
"ATH-aux-reg-IR8-ARF5-2-up","conditionAuxin",0.0297519340420588,0.00656785670367571,4.52993044525593,0.00397544970805385,0.0072859060220834,0.0297519340420588,0.0168789349028545,0.0426249331812632,"Up"
"ATH-aux-reg-IR8-ARF3-down","conditionAuxin",-0.0245992267934629,0.00545451520003531,-4.50988326025815,0.00406099679919403,0.0072859060220834,-0.0245992267934629,-0.0352900765855321,-0.0139083770013937,"Down"
"ATH-aux-reg-DR5-ARF3-down","conditionAuxin",-0.0671724227723801,0.0154062257446943,-4.36008298758789,0.00477005955923014,0.00831353237465824,-0.0671724227723801,-0.0973686252319809,-0.0369762203127793,"Down"
"majortrend","conditionAuxin",-0.00783199111386914,0.00181123412704439,-4.32411856475426,0.00496038171152517,0.00840509123341766,-0.00783199111386914,-0.0113820100028762,-0.00428197222486213,"n.s."
"ATH-aux-trans-A-ARF","conditionAuxin",0.0394162719323718,0.00962755476177746,4.09411038500234,0.00639960575722619,0.0102730513471263,0.0394162719323718,0.020546264599288,0.0582862792654556,"Up"
"ATH-aux-cis-IR8-ARF2","conditionAuxin",-0.00965125547370548,0.00234777047449593,-4.11081729604663,0.00628059800110598,0.0102730513471263,-0.00965125547370548,-0.0142528856037175,-0.00504962534369345,"n.s."
"ATH-aux-reg-IR8-ARF5-2-down","conditionAuxin",-0.0342431968936997,0.00896257749597606,-3.82068628238627,0.00875369529246919,0.0134531852964013,-0.0342431968936997,-0.0518098487858127,-0.0166765450015866,"Down"
"ATH-aux-reg-DR5-ARF1-up","conditionAuxin",0.0293200392803948,0.00768737785077221,3.81404945217432,0.00882176085009919,0.0134531852964013,0.0293200392803948,0.0142527786928813,0.0443872998679083,"Up"
"ATH-aux-reg-DR5-ARF8-up","conditionAuxin",0.0270128057483448,0.00730076018391819,3.69999905048895,0.010088390285104,0.0150095562778376,0.0270128057483448,0.0127033157878652,0.0413222957088245,"Up"
"ATH-aux-reg-IR8-ARF1-down","conditionAuxin",-0.0247041124233902,0.00701354076784711,-3.52234530904045,0.0124829951645578,0.0181300644056673,-0.0247041124233902,-0.0384506523283705,-0.0109575725184099,"Down"
"ATH-aux-reg-DR5-ARF5-2-up","conditionAuxin",0.0336348858714499,0.00960807976498409,3.50068761856346,0.0128156186447994,0.0181802962170411,0.0336348858714499,0.0148030495320811,0.0524667222108188,"Up"
"ATH-aux-trans-IAA","conditionAuxin",-0.0648890633672452,0.0186909495350208,-3.47168362129831,0.0132764923236533,0.0184060461759739,-0.0648890633672452,-0.101523324455886,-0.0282548022786043,"Down"
"ATH-aux-cis-DR5-ARF1","conditionAuxin",-0.00574092435867532,0.00177128228919908,-3.24111204277393,0.0176622136474317,0.0239421118331852,-0.00574092435867532,-0.00921263764550553,-0.00226921107184512,"n.s."
"ATH-aux-reg-IR8-ARF2-down","conditionAuxin",0.021095010563808,0.00758910720470208,2.77964324324446,0.0320120820486939,0.0424508044558767,0.021095010563808,0.00622036044259188,0.035969660685024,"Up"
"random1","conditionAuxin",-0.0162973341771377,0.0063313467970221,-2.57407068347655,0.0421038133608384,0.0546453747874711,-0.0162973341771377,-0.028706773899301,-0.00388789445497443,"n.s."
"ATH-aux-cis-DR5-ARF3","conditionAuxin",-0.00469600058662103,0.00191268948919391,-2.45518188558673,0.0494417043636049,0.0628321659620812,-0.00469600058662103,-0.00844487198544109,-0.000947129187800966,"n.s."
"ATH-aux-reg-IR8-TGTCNN-up","conditionAuxin",-0.0218356173945015,0.00902158673841634,-2.42037437843607,0.0518367064265624,0.0645314100412308,-0.0218356173945015,-0.0395179274017975,-0.0041533073872055,"n.s."
"ATH-aux-reg-DR5-ARF2-up","conditionAuxin",0.015367546233661,0.00648476714476284,2.36979152691273,0.0555364969152486,0.0677545262366033,0.015367546233661,0.00265740262992586,0.0280776898373962,"n.s."
"ATH-aux-reg-IR8-ARF6-up","conditionAuxin",0.0198442432159092,0.00883972457755356,2.24489383597981,0.0659021408488952,0.0788241292506394,0.0198442432159092,0.00251838304390422,0.0371701033879142,"n.s."
"ATH-aux-reg-DR5-ARF5-2-down","conditionAuxin",-0.00865421395774422,0.00456220180648771,-1.896937997227,0.106621525724094,0.125075251330188,-0.00865421395774422,-0.0175961294984601,0.000287701582971698,"n.s."
"ATH-aux-trans-ConjugationDeconjugation","conditionAuxin",0.0179630076821556,0.0125037786812662,1.43660633637644,0.200854939194239,0.231172665865067,0.0179630076821556,-0.00654439853312611,0.0424704138974373,"n.s."
"random3","conditionAuxin",-0.00340733410313823,0.00304643968496065,-1.11846432409583,0.306138750207719,0.345823403012424,-0.00340733410313823,-0.0093783558856611,0.00256368767938465,"n.s."
"ATH-aux-reg-IR8-ARF2-up","conditionAuxin",0.00969995326917753,0.00917114394646388,1.05766012678468,0.330922296368271,0.360468929972581,0.00969995326917753,-0.00827548886589167,0.0276753954042467,"n.s."
"ATH-aux-reg-DR5-ARF6-up","conditionAuxin",-0.00779919511033034,0.00730203595261184,-1.06808500546216,0.32655937018319,0.360468929972581,-0.00779919511033034,-0.0221111855774495,0.00651279535678888,"n.s."
"ATH-aux-reg-DR5-TGTCNN-up","conditionAuxin",0.00343312334368927,0.00529262094521193,0.648662237335381,0.540573350972822,0.578508322970914,0.00343312334368927,-0.00694041370892611,0.0138066603963046,"n.s."
"random2","conditionAuxin",0.00151826979616534,0.00282644089727181,0.537166652814441,0.610478603016732,0.631172792949503,0.00151826979616534,-0.0040215543624874,0.00705809395481809,"n.s."
"ATH-aux-reg-IR8-TGTCNN-down","conditionAuxin",0.00130329657965788,0.00239231532845837,0.544784612694737,0.60554261170292,0.631172792949503,0.00130329657965788,-0.00338564146412053,0.00599223462343628,"n.s."
"ATH-aux-trans-Transport","conditionAuxin",-0.00415267239779662,0.0160928831602561,-0.258044028310123,0.80499584445538,0.818412441862969,-0.00415267239779662,-0.0356947233918985,0.0273893785963053,"n.s."
"ATH-aux-reg-IR8-ARF3-up","conditionAuxin",0.00179191805148519,0.0133029076253948,0.134701232388059,0.897253146077746,0.897253146077746,0.00179191805148519,-0.0242817808942886,0.027865616997259,"n.s."
